Opentime,Open,High,Low,Close,Volume,Closetime,Quote asset volume,Number of trades,Taker by base,Taker buy quote,Ignore
2022-07-14 14:42:00,0.4279,0.428,0.4274,0.4277,350676.1,1657780979999,149956.9701,221,116913.8,49991.35662,0
2022-07-14 14:43:00,0.4277,0.4281,0.4277,0.4281,151546.6,1657781039999,64838.39579,103,110947.0,47472.18266,0
2022-07-14 14:44:00,0.4281,0.4283,0.428,0.4282,15738.1,1657781099999,6738.2179,29,7316.7,3132.85533,0
2022-07-14 14:45:00,0.4283,0.4294,0.4283,0.429,294846.4,1657781159999,126430.61475,199,216659.5,92880.73512,0
2022-07-14 14:46:00,0.429,0.4294,0.4288,0.429,210636.2,1657781219999,90399.52052,153,137100.4,58846.69784,0
2022-07-14 14:47:00,0.4291,0.4294,0.4286,0.4288,259213.3,1657781279999,111208.66034,156,99739.5,42807.89849,0
2022-07-14 14:48:00,0.4288,0.4293,0.4288,0.429,70063.0,1657781339999,30064.32234,78,60942.2,26150.96724,0
2022-07-14 14:49:00,0.4289,0.4292,0.4289,0.4289,52233.3,1657781399999,22410.41009,55,38674.6,16593.5676,0
2022-07-14 14:50:00,0.4289,0.429,0.4286,0.4287,34050.5,1657781459999,14603.17593,32,3939.9,1689.20169,0
2022-07-14 14:51:00,0.4286,0.429,0.4286,0.4289,92091.2,1657781519999,39494.14926,78,52412.3,22477.24174,0
2022-07-14 14:52:00,0.4289,0.4289,0.4283,0.4284,72621.0,1657781579999,31128.2262,70,19021.3,8151.94666,0
2022-07-14 14:53:00,0.4284,0.4284,0.4283,0.4284,39972.5,1657781639999,17121.68464,32,8666.0,3712.5144,0
2022-07-14 14:54:00,0.4285,0.4288,0.4283,0.4284,309435.1,1657781699999,132601.20152,144,222661.6,95426.32594,0
2022-07-14 14:55:00,0.4284,0.4287,0.4284,0.4287,70231.4,1657781759999,30101.70189,65,61656.8,26427.10879,0
2022-07-14 14:56:00,0.4287,0.4288,0.4286,0.4286,31216.2,1657781819999,13383.32493,44,19031.7,8159.88596,0
2022-07-14 14:57:00,0.4287,0.4287,0.4284,0.4286,70631.9,1657781879999,30270.0581,45,15931.9,6827.6508,0
2022-07-14 14:58:00,0.4286,0.4289,0.4285,0.4288,41438.1,1657781939999,17764.04487,39,26481.5,11352.38715,0
2022-07-14 14:59:00,0.4289,0.429,0.4287,0.4287,60865.3,1657781999999,26097.7765,45,34488.4,14785.85175,0
2022-07-14 15:00:00,0.4287,0.429,0.4285,0.4289,97191.8,1657782059999,41670.14645,76,58687.5,25162.04994,0
2022-07-14 15:01:00,0.4289,0.429,0.4287,0.4289,32744.7,1657782119999,14043.69835,36,23004.6,9866.73852,0
2022-07-14 15:02:00,0.4288,0.429,0.4287,0.4287,42512.6,1657782179999,18233.42913,46,15745.3,6753.86196,0
2022-07-14 15:03:00,0.4288,0.4289,0.4286,0.4286,21302.8,1657782239999,9133.80946,53,8176.9,3506.13981,0
2022-07-14 15:04:00,0.4287,0.4287,0.4284,0.4284,12970.1,1657782299999,5558.67676,24,1717.5,736.29225,0
2022-07-14 15:05:00,0.4283,0.4284,0.427,0.427,238322.7,1657782359999,101914.59561,202,58164.8,24865.94297,0
2022-07-14 15:06:00,0.4271,0.4274,0.4269,0.4272,163107.0,1657782419999,69666.72572,117,85821.5,36659.04594,0
2022-07-14 15:07:00,0.4272,0.4272,0.4268,0.4269,173076.7,1657782479999,73902.69874,110,64129.5,27384.83515,0
2022-07-14 15:08:00,0.4269,0.4272,0.4268,0.4271,101790.2,1657782539999,43466.37043,116,45450.6,19408.7623,0
2022-07-14 15:09:00,0.4271,0.4271,0.4267,0.4267,64214.5,1657782599999,27408.22297,55,5063.3,2161.48142,0
2022-07-14 15:10:00,0.4267,0.4276,0.4266,0.4276,247565.2,1657782659999,105717.55787,181,164120.4,70080.67958,0
2022-07-14 15:11:00,0.4276,0.428,0.4276,0.4277,67323.8,1657782719999,28801.44042,86,30488.1,13042.38775,0
2022-07-14 15:12:00,0.4277,0.428,0.4276,0.4276,69965.9,1657782779999,29931.36538,66,51588.6,22069.91022,0
2022-07-14 15:13:00,0.4276,0.428,0.4273,0.4274,58114.2,1657782839999,24858.31091,50,27938.2,11952.1472,0
2022-07-14 15:14:00,0.4274,0.4279,0.4274,0.4277,59126.3,1657782899999,25284.63218,57,37344.3,15968.64363,0
2022-07-14 15:15:00,0.4277,0.4278,0.4276,0.4277,38857.8,1657782959999,16619.09233,61,32221.4,13780.88837,0
2022-07-14 15:16:00,0.4276,0.428,0.4276,0.4277,33188.0,1657783019999,14196.20862,33,26718.6,11428.29098,0
2022-07-14 15:17:00,0.4277,0.4284,0.4277,0.4284,48632.7,1657783079999,20812.75709,78,35030.8,14991.06401,0
2022-07-14 15:18:00,0.4284,0.4287,0.4278,0.4279,200060.2,1657783139999,85655.43496,139,19400.9,8312.72675,0
2022-07-14 15:19:00,0.4278,0.4286,0.4278,0.4283,124956.2,1657783199999,53531.29559,113,89058.5,38153.00234,0
2022-07-14 15:20:00,0.4282,0.4287,0.4281,0.4282,237025.7,1657783259999,101525.96231,151,49434.0,21184.2814,0
2022-07-14 15:21:00,0.4282,0.4283,0.4281,0.4282,42029.5,1657783319999,17996.35409,38,29534.8,12646.9266,0
2022-07-14 15:22:00,0.4283,0.4285,0.4283,0.4285,15626.7,1657783379999,6695.04099,30,8813.9,3776.15737,0
2022-07-14 15:23:00,0.4284,0.4284,0.4282,0.4283,72227.0,1657783439999,30936.07676,70,52710.0,22576.91995,0
2022-07-14 15:24:00,0.4281,0.4284,0.4277,0.4278,67356.2,1657783499999,28837.14723,79,44855.0,19204.4204,0
2022-07-14 15:25:00,0.4278,0.4279,0.4276,0.4278,57828.6,1657783559999,24740.12277,70,21699.3,9283.7438,0
2022-07-14 15:26:00,0.4279,0.4279,0.4277,0.4278,15546.3,1657783619999,6651.15867,22,14058.4,6014.65162,0
2022-07-14 15:27:00,0.4279,0.4283,0.4277,0.4283,182996.3,1657783679999,78322.4315,109,144274.7,61749.61991,0
2022-07-14 15:28:00,0.4282,0.4286,0.428,0.4281,94057.5,1657783739999,40284.14824,75,31622.8,13542.42677,0
2022-07-14 15:29:00,0.4281,0.4281,0.4278,0.428,34113.1,1657783799999,14597.90779,30,21800.6,9328.70207,0
2022-07-14 15:30:00,0.4279,0.4286,0.4279,0.4284,131699.3,1657783859999,56410.57059,123,83090.8,35584.3104,0
2022-07-14 15:31:00,0.4284,0.4286,0.4282,0.4282,86876.2,1657783919999,37211.42332,41,6912.6,2962.07151,0
2022-07-14 15:32:00,0.4283,0.4283,0.428,0.428,27700.4,1657783979999,11858.73702,28,11217.5,4803.48163,0
2022-07-14 15:33:00,0.428,0.428,0.4277,0.4277,43617.4,1657784039999,18663.79483,43,7292.7,3120.5311,0
2022-07-14 15:34:00,0.4276,0.4279,0.4275,0.4279,66978.4,1657784099999,28650.50541,51,57799.9,24725.76332,0
2022-07-14 15:35:00,0.4279,0.4283,0.4279,0.4281,39413.3,1657784159999,16874.56906,41,12912.0,5528.04587,0
2022-07-14 15:36:00,0.4282,0.4286,0.4281,0.4286,55797.3,1657784219999,23903.38624,45,49927.3,21388.54195,0
2022-07-14 15:37:00,0.4287,0.4288,0.4283,0.4284,113812.6,1657784279999,48781.53875,98,32584.0,13967.45228,0
2022-07-14 15:38:00,0.4284,0.4285,0.4281,0.4281,57618.7,1657784339999,24675.17402,55,19331.1,8278.17042,0
2022-07-14 15:39:00,0.4281,0.4281,0.4277,0.4277,34100.9,1657784399999,14597.47153,41,4808.2,2058.39042,0
2022-07-14 15:40:00,0.4277,0.4277,0.4271,0.4272,60779.7,1657784459999,25977.02095,65,33111.5,14152.39482,0
2022-07-14 15:41:00,0.4272,0.4272,0.4263,0.4267,213161.1,1657784519999,90935.63259,167,67036.0,28601.12677,0
2022-07-14 15:42:00,0.4266,0.4269,0.4265,0.4268,78472.3,1657784579999,33485.32211,68,40385.6,17234.92952,0
2022-07-14 15:43:00,0.4268,0.4291,0.4268,0.4288,509029.3,1657784639999,218073.86767,378,421974.0,180773.22807,0
2022-07-14 15:44:00,0.4288,0.4288,0.4278,0.4279,78535.3,1657784699999,33626.07638,94,19094.4,8172.46224,0
2022-07-14 15:45:00,0.428,0.4281,0.4275,0.4277,55091.5,1657784759999,23564.3885,64,17151.5,7336.15489,0
