Opentime,Open,High,Low,Close,Volume,Closetime,Quote asset volume,Number of trades,Taker by base,Taker buy quote,Ignore
2021-11-14 14:42:00,64737.41,64764.34,64734.39,64742.59,7.53891,1636872179999,488117.4107562,473,4.92262,318706.2316612,0
2021-11-14 14:43:00,64742.59,64759.99,64737.41,64745.28,5.60107,1636872239999,362624.9299114,371,2.75897,178622.3301071,0
2021-11-14 14:44:00,64745.27,64758.49,64737.41,64737.42,7.08672,1636872299999,458837.4779871,360,0.90938,58881.7720551,0
2021-11-14 14:45:00,64737.42,64787.41,64712.9,64787.41,13.4283,1636872359999,869293.5390694,471,4.77677,309254.0987979,0
2021-11-14 14:46:00,64783.35,64824.61,64781.8,64791.62,9.11735,1636872419999,590831.6613272,464,4.64922,301269.8788491,0
2021-11-14 14:47:00,64791.61,64810.0,64781.0,64795.94,11.64937,1636872479999,754871.1448947,397,3.15697,204557.9670119,0
2021-11-14 14:48:00,64795.95,64861.27,64794.51,64858.92,68.68362,1636872539999,4450969.7512903,498,63.64453,4124251.0910632,0
2021-11-14 14:49:00,64861.27,64865.5,64801.57,64811.5,12.73647,1636872599999,825875.9992822,485,4.26183,276336.7822958,0
2021-11-14 14:50:00,64811.5,64815.84,64793.59,64809.28,6.94801,1636872659999,450249.0586792,346,4.15608,269320.0637932,0
2021-11-14 14:51:00,64809.28,64823.99,64809.27,64819.98,3.18836,1636872719999,206666.1692968,277,1.07414,69623.5258932,0
2021-11-14 14:52:00,64819.99,64830.4,64819.98,64824.97,3.7943,1636872779999,245957.0799975,301,1.00875,65389.5606958,0
2021-11-14 14:53:00,64824.96,64844.27,64810.0,64844.27,4.75973,1636872839999,308521.8956441,375,2.64249,171274.3436228,0
2021-11-14 14:54:00,64844.27,64844.27,64825.25,64829.86,5.01745,1636872899999,325338.5949003,406,1.44542,93718.2917431,0
2021-11-14 14:55:00,64829.87,64837.98,64821.01,64823.98,6.99733,1636872959999,453593.9696777,429,1.97815,128230.945515,0
2021-11-14 14:56:00,64823.99,64824.0,64805.6,64805.63,5.19875,1636873019999,336987.8347573,383,1.33252,86373.0568593,0
2021-11-14 14:57:00,64805.62,64805.63,64783.72,64794.98,7.0241,1636873079999,455126.8255497,389,3.65581,236862.7236009,0
2021-11-14 14:58:00,64794.99,64812.51,64794.98,64800.0,3.45191,1636873139999,223694.2937149,305,1.32599,85923.230161,0
2021-11-14 14:59:00,64800.0,64804.36,64784.0,64800.01,6.54381,1636873199999,424005.942742,407,3.25555,210936.8330686,0
2021-11-14 15:00:00,64800.01,64800.01,64771.01,64771.77,6.1236,1636873259999,396697.7256236,480,2.68229,173756.5184369,0
2021-11-14 15:01:00,64771.77,64799.99,64771.02,64799.98,6.63232,1636873319999,429639.8624107,652,4.00039,259144.9257325,0
2021-11-14 15:02:00,64799.98,64848.84,64798.18,64848.84,6.48184,1636873379999,420178.4845358,660,3.99258,258818.1620581,0
2021-11-14 15:03:00,64848.84,64869.22,64848.83,64869.22,3.45874,1636873439999,224330.1907893,601,1.85007,119993.7780834,0
2021-11-14 15:04:00,64869.22,64870.59,64835.4,64862.52,7.91432,1636873499999,513343.9606724,536,4.36414,283062.6339568,0
2021-11-14 15:05:00,64862.51,64887.42,64862.51,64867.96,7.15361,1636873559999,464058.2173727,645,4.88597,316957.0598801,0
2021-11-14 15:06:00,64867.95,64875.98,64862.51,64862.51,16.5325,1636873619999,1072363.4575394,520,1.48071,96053.1626329,0
2021-11-14 15:07:00,64862.52,64862.52,64848.4,64848.41,6.32644,1636873679999,410322.0709716,585,1.51538,98282.8670873,0
2021-11-14 15:08:00,64848.4,64848.41,64752.96,64752.96,6.34698,1636873739999,411216.3676504,611,1.98483,128602.5719248,0
2021-11-14 15:09:00,64752.97,64770.53,64723.07,64723.08,10.30467,1636873799999,667234.4857285,702,3.2967,213449.673279,0
2021-11-14 15:10:00,64723.08,64762.23,64706.71,64709.99,13.67621,1636873859999,885315.1058815,618,7.63919,494530.2630747,0
2021-11-14 15:11:00,64709.98,64737.74,64709.98,64727.22,3.67936,1636873919999,238116.5594378,557,2.64532,171196.1529265,0
2021-11-14 15:12:00,64727.22,64749.99,64703.81,64743.58,5.16346,1636873979999,334211.3933774,507,2.33485,151126.5899772,0
2021-11-14 15:13:00,64743.58,64766.1,64721.22,64727.71,8.54252,1636874039999,553124.2925156,554,3.13967,203284.1244002,0
2021-11-14 15:14:00,64727.7,64766.2,64720.8,64765.49,5.04706,1636874099999,326753.4374496,451,2.40208,155508.6091699,0
2021-11-14 15:15:00,64765.48,64765.49,64755.02,64755.9,3.18146,1636874159999,206029.873938,562,1.32763,85976.3464552,0
2021-11-14 15:16:00,64755.9,64763.85,64755.03,64759.68,2.67681,1636874219999,173345.2593488,444,1.53046,99109.9934792,0
2021-11-14 15:17:00,64759.67,64759.68,64736.34,64748.73,11.44739,1636874279999,741191.0578919,697,4.85147,314113.6583921,0
2021-11-14 15:18:00,64748.73,64756.08,64741.1,64752.15,6.18754,1636874339999,400638.683039,497,2.10252,136136.9445074,0
2021-11-14 15:19:00,64752.16,64811.75,64747.96,64808.81,8.08173,1636874399999,523539.9812043,690,5.38232,348651.4918388,0
2021-11-14 15:20:00,64808.81,64811.74,64753.56,64808.7,17.29194,1636874459999,1120195.4617832,646,10.54916,683298.6177081,0
2021-11-14 15:21:00,64808.7,64861.26,64792.88,64855.25,11.29348,1636874519999,732172.7884333,653,6.9381,449819.7037394,0
2021-11-14 15:22:00,64855.24,64855.24,64824.72,64824.73,9.4256,1636874579999,611145.0324736,542,3.52826,228765.9180127,0
2021-11-14 15:23:00,64824.72,64824.73,64802.86,64806.29,7.05106,1636874639999,457027.1894706,625,1.43801,93198.1933979,0
2021-11-14 15:24:00,64806.28,64844.52,64806.28,64836.82,6.94556,1636874699999,450268.3426703,490,4.59053,297585.4012836,0
2021-11-14 15:25:00,64836.82,64844.41,64814.31,64823.91,14.52287,1636874759999,941508.5808601,617,8.82449,572078.6181094,0
2021-11-14 15:26:00,64823.91,64823.91,64778.55,64778.55,7.54617,1636874819999,489005.4501058,576,1.82316,118128.7958901,0
2021-11-14 15:27:00,64778.56,64800.0,64778.55,64796.18,14.14697,1636874879999,916584.9825687,668,11.52987,747012.7492644,0
2021-11-14 15:28:00,64796.18,64847.53,64772.76,64841.85,22.34564,1636874939999,1448094.2897208,638,8.37118,542508.3260611,0
2021-11-14 15:29:00,64841.84,64852.3,64788.96,64808.92,8.80513,1636874999999,570665.052665,739,3.72688,241526.1422091,0
2021-11-14 15:30:00,64808.92,64808.92,64740.49,64740.49,14.94523,1636875059999,967944.462124,800,7.75362,502075.4067456,0
2021-11-14 15:31:00,64740.49,64745.01,64740.49,64742.29,5.3726,1636875119999,347834.5462755,573,2.05769,133219.6155772,0
2021-11-14 15:32:00,64742.29,64742.29,64712.8,64724.99,11.97291,1636875179999,775085.5204586,608,2.0743,134277.0037277,0
2021-11-14 15:33:00,64724.98,64752.83,64712.94,64734.04,14.05094,1636875239999,909597.3131499,724,8.344,540167.6636619,0
2021-11-14 15:34:00,64734.03,64734.04,64692.01,64703.61,16.68382,1636875299999,1079675.3051221,852,6.38599,413275.0826883,0
2021-11-14 15:35:00,64708.31,64732.76,64701.56,64729.86,9.00115,1636875359999,582500.0948007,678,5.01273,324393.1346077,0
2021-11-14 15:36:00,64729.87,64792.64,64691.34,64731.43,30.91946,1636875419999,2001704.137948,959,16.44009,1064280.1182823,0
2021-11-14 15:37:00,64731.43,64733.56,64650.01,64655.04,18.81308,1636875479999,1216868.1783754,975,4.63922,300066.7890785,0
2021-11-14 15:38:00,64655.03,64655.04,64596.6,64604.36,28.4731,1636875539999,1839900.5076509,1232,10.17384,657396.7935652,0
2021-11-14 15:39:00,64604.36,64647.96,64582.28,64647.96,28.98568,1636875599999,1872626.3973471,1241,13.94447,900970.4348781,0
2021-11-14 15:40:00,64647.96,64714.27,64647.96,64656.33,14.17168,1636875659999,916729.1659516,779,7.76931,502559.0632222,0
2021-11-14 15:41:00,64656.33,64683.0,64600.0,64611.59,23.98854,1636875719999,1550311.491907,911,9.98685,645357.6516666,0
2021-11-14 15:42:00,64611.59,64616.19,64499.69,64600.0,120.79488,1636875779999,7797923.6849908,2234,57.50954,3712430.0570924,0
2021-11-14 15:43:00,64600.0,64684.45,64595.98,64636.43,42.8844,1636875839999,2771125.2927715,951,23.52429,1519934.0359568,0
2021-11-14 15:44:00,64633.72,64684.28,64602.04,64639.02,35.78378,1636875899999,2313271.2710733,876,8.08651,522819.8169281,0
2021-11-14 15:45:00,64639.03,64639.03,64604.61,64637.82,20.97182,1636875959999,1355264.3842617,762,8.77997,567366.3014621,0
2021-11-14 15:46:00,64637.82,64715.77,64633.85,64699.97,21.94379,1636876019999,1419436.1265992,769,19.0906,1234854.2737677,0
2021-11-14 15:47:00,64699.97,64715.6,64439.73,64671.1,100.96666,1636876079999,6522224.7863643,1658,26.27265,1698453.5716072,0
2021-11-14 15:48:00,64671.09,64671.09,64627.78,64630.24,14.19925,1636876139999,917916.2740758,526,2.92006,188761.1125724,0
2021-11-14 15:49:00,64630.23,64651.07,64611.54,64612.31,15.13256,1636876199999,978038.3839292,619,5.27227,340730.4880943,0
2021-11-14 15:50:00,64611.55,64622.97,64566.71,64576.54,12.27415,1636876259999,792999.9157804,678,8.01889,518088.5487778,0
2021-11-14 15:51:00,64576.54,64581.94,64531.53,64546.78,12.53169,1636876319999,809017.1060659,819,9.05556,584612.5943707,0
2021-11-14 15:52:00,64546.78,64585.89,64531.02,64565.3,13.8618,1636876379999,894926.2855442,675,6.29462,406369.3765318,0
2021-11-14 15:53:00,64565.3,64618.49,64565.29,64613.03,9.71222,1636876439999,627407.5083048,654,4.6329,299250.1842435,0
2021-11-14 15:54:00,64613.04,64613.04,64577.88,64598.24,13.05997,1636876499999,843581.4434245,608,3.69158,238450.7387756,0
2021-11-14 15:55:00,64598.24,64639.3,64596.81,64639.3,19.76444,1636876559999,1277097.0725589,719,15.64874,1011122.6716949,0
2021-11-14 15:56:00,64639.3,64660.0,64638.33,64658.57,12.10467,1636876619999,782502.4790237,633,8.73154,564457.5707894,0
2021-11-14 15:57:00,64658.57,64679.98,64645.88,64651.07,11.83219,1636876679999,765179.5561106,640,7.34772,475191.6465514,0
2021-11-14 15:58:00,64651.06,64696.07,64640.06,64695.37,19.96308,1636876739999,1290952.9070493,904,12.08199,781345.6398093,0
2021-11-14 15:59:00,64695.36,64702.5,64609.86,64627.58,19.8666,1636876799999,1284594.7958727,680,8.58957,555404.7787064,0
2021-11-14 16:00:00,64627.58,64667.58,64627.58,64662.05,11.55918,1636876859999,747298.7555895,589,7.78186,503071.7117796,0
2021-11-14 16:01:00,64660.02,64666.24,64651.0,64662.86,9.24612,1636876919999,597828.449289,413,5.77343,373295.2621293,0
2021-11-14 16:02:00,64662.86,64662.87,64620.0,64620.15,9.15541,1636876979999,591853.3733226,454,2.42821,156959.8325058,0
2021-11-14 16:03:00,64620.15,64621.52,64563.72,64577.92,17.65581,1636877039999,1140303.8812177,650,8.45607,546111.8985008,0
2021-11-14 16:04:00,64577.91,64600.0,64565.09,64599.99,11.21791,1636877099999,724519.8153957,560,8.41337,543383.8631394,0
2021-11-14 16:05:00,64600.0,64615.37,64590.95,64609.79,13.29292,1636877159999,858772.987261,608,8.86934,572998.1073362,0
2021-11-14 16:06:00,64609.79,64616.46,64534.38,64545.48,35.32635,1636877219999,2281344.1208561,1247,20.5659,1328186.7580843,0
2021-11-14 16:07:00,64545.47,64546.64,64511.23,64525.99,16.90906,1636877279999,1091193.5984225,566,3.58338,231244.6814389,0
