Opentime,Open,High,Low,Close,Volume,Closetime,Quote asset volume,Number of trades,Taker by base,Taker buy quote,Ignore
2022-07-14 14:42:00,0.055053,0.05507,0.055053,0.055069,53.6107,1657780979999,2.95191837,106,42.7266,2.35258139,0
2022-07-14 14:43:00,0.055069,0.055092,0.055069,0.055091,105.4114,1657781039999,5.80599348,161,66.6728,3.67220133,0
2022-07-14 14:44:00,0.055092,0.055124,0.055092,0.055104,77.316,1657781099999,4.26158603,189,29.5374,1.6279753,0
2022-07-14 14:45:00,0.055104,0.055104,0.055048,0.05507,84.982,1657781159999,4.67977491,207,38.5298,2.12143049,0
2022-07-14 14:46:00,0.055069,0.05508,0.055063,0.05508,58.1925,1657781219999,3.20461735,99,36.3324,2.00081097,0
2022-07-14 14:47:00,0.05508,0.055106,0.05508,0.055106,50.6998,1657781279999,2.79298562,85,44.7116,2.46310197,0
2022-07-14 14:48:00,0.055107,0.055118,0.055105,0.055106,26.5239,1657781339999,1.46175396,59,14.4187,0.79460982,0
2022-07-14 14:49:00,0.055106,0.055106,0.0551,0.055102,23.7607,1657781399999,1.30924956,55,11.0733,0.61015098,0
2022-07-14 14:50:00,0.055101,0.055117,0.055101,0.055104,56.9488,1657781459999,3.13834731,101,30.7932,1.69681919,0
2022-07-14 14:51:00,0.055104,0.055104,0.05507,0.055071,80.1795,1657781519999,4.41779948,88,11.1317,0.61326718,0
2022-07-14 14:52:00,0.055071,0.055082,0.055064,0.055077,62.6259,1657781579999,3.44919425,119,38.5986,2.12579707,0
2022-07-14 14:53:00,0.055079,0.055102,0.055079,0.055094,61.4104,1657781639999,3.38321877,120,37.0077,2.03870064,0
2022-07-14 14:54:00,0.055094,0.055107,0.055082,0.055093,125.7371,1657781699999,6.92769897,154,53.8966,2.96927228,0
2022-07-14 14:55:00,0.055092,0.055092,0.055071,0.055072,55.0835,1657781759999,3.03383875,108,26.0402,1.43417223,0
2022-07-14 14:56:00,0.055072,0.055073,0.05506,0.055062,74.7036,1657781819999,4.11358789,96,25.7347,1.41701046,0
2022-07-14 14:57:00,0.055062,0.055071,0.055051,0.055052,55.7147,1657781879999,3.06787977,90,23.4089,1.28898991,0
2022-07-14 14:58:00,0.055051,0.055063,0.05504,0.05504,73.1324,1657781939999,4.02615614,96,14.7784,0.81352187,0
2022-07-14 14:59:00,0.055041,0.055041,0.055033,0.05504,57.8241,1657781999999,3.18246234,82,43.9692,2.41989815,0
2022-07-14 15:00:00,0.05504,0.055067,0.05504,0.055067,93.9944,1657782059999,5.17474843,147,58.2014,3.20406981,0
2022-07-14 15:01:00,0.055062,0.055063,0.055044,0.055044,43.6853,1657782119999,2.40510577,95,19.7825,1.08910065,0
2022-07-14 15:02:00,0.055044,0.055044,0.055042,0.055043,26.3506,1657782179999,1.450413,58,11.1153,0.61182152,0
2022-07-14 15:03:00,0.055043,0.05505,0.05504,0.05505,42.4374,1657782239999,2.33584788,79,31.0955,1.71156737,0
2022-07-14 15:04:00,0.055049,0.055051,0.055042,0.055042,25.0187,1657782299999,1.37719918,37,5.734,0.31565671,0
2022-07-14 15:05:00,0.055042,0.055042,0.05495,0.054964,166.1315,1657782359999,9.13682209,217,54.4072,2.99141693,0
2022-07-14 15:06:00,0.054964,0.054979,0.05495,0.054979,104.9476,1657782419999,5.76852512,179,52.5435,2.88801796,0
2022-07-14 15:07:00,0.054978,0.054978,0.054914,0.05493,132.8478,1657782479999,7.29887916,178,23.1628,1.27218688,0
