Opentime,Open,High,Low,Close,Volume,Closetime,Quote asset volume,Number of trades,Taker by base,Taker buy quote,Ignore
2022-07-14 14:42:00,1099.62,1099.97,1099.3,1099.83,701.6154,1657780979999,771421.892761,559,267.5274,294179.487733,0
2022-07-14 14:43:00,1099.82,1100.95,1099.82,1100.91,1067.7201,1657781039999,1174687.411957,599,760.8157,836953.869159,0
2022-07-14 14:44:00,1100.91,1102.29,1100.91,1101.96,425.5283,1657781099999,468851.33721,736,267.1367,294300.780261,0
2022-07-14 14:45:00,1101.95,1104.07,1101.95,1103.74,1349.5852,1657781159999,1488933.879029,1192,661.3784,729579.477586,0
2022-07-14 14:46:00,1103.74,1104.92,1103.21,1103.7,779.7155,1657781219999,860900.544883,814,457.0293,504559.3304,0
2022-07-14 14:47:00,1103.7,1104.98,1103.69,1104.15,670.5609,1657781279999,740613.553467,553,415.7516,459181.500951,0
2022-07-14 14:48:00,1104.16,1104.95,1104.12,1104.42,178.4963,1657781339999,197163.803887,330,116.3642,128525.564971,0
2022-07-14 14:49:00,1104.41,1105.03,1104.41,1104.61,492.8509,1657781399999,544426.083575,415,243.7145,269218.846475,0
2022-07-14 14:50:00,1104.6,1104.64,1103.67,1103.74,1251.8178,1657781459999,1382332.549162,463,204.1117,225294.130761,0
2022-07-14 14:51:00,1103.74,1104.61,1103.67,1104.15,294.9732,1657781519999,325690.336037,311,253.511,279906.040361,0
2022-07-14 14:52:00,1104.14,1104.15,1102.96,1103.53,299.5803,1657781579999,330573.139939,421,153.7477,169632.489025,0
2022-07-14 14:53:00,1103.52,1103.53,1103.0,1103.02,234.4909,1657781639999,258660.960462,281,119.7152,132048.224587,0
2022-07-14 14:54:00,1103.02,1103.9,1102.28,1102.79,1373.5697,1657781699999,1514934.392608,555,263.7239,290867.220591,0
2022-07-14 14:55:00,1102.79,1103.15,1102.29,1102.44,273.1204,1657781759999,301147.659759,314,188.6856,208045.633435,0
2022-07-14 14:56:00,1102.44,1102.94,1102.33,1102.33,171.683,1657781819999,189312.983915,229,92.9629,102508.565304,0
2022-07-14 14:57:00,1102.34,1102.93,1101.84,1102.68,544.7985,1657781879999,600527.95106,429,279.3603,307935.51544,0
2022-07-14 14:58:00,1102.69,1103.1,1102.68,1103.02,156.3465,1657781939999,172431.616517,251,91.8253,101267.351442,0
2022-07-14 14:59:00,1103.02,1103.3,1102.0,1102.26,364.6999,1657781999999,402227.995336,335,192.1336,211889.387636,0
2022-07-14 15:00:00,1102.25,1103.52,1101.77,1103.2,1673.3203,1657782059999,1845336.598813,678,1398.2465,1541988.024175,0
2022-07-14 15:01:00,1103.2,1103.77,1102.6,1102.94,477.9338,1657782119999,527292.04368,439,152.5486,168279.84468,0
2022-07-14 15:02:00,1102.94,1102.97,1102.52,1102.56,190.419,1657782179999,209992.610552,534,107.0903,118095.460293,0
2022-07-14 15:03:00,1102.57,1102.8,1102.0,1102.33,499.1354,1657782239999,550209.915545,693,223.0757,245905.876846,0
2022-07-14 15:04:00,1102.34,1102.5,1101.37,1101.52,1182.4007,1657782299999,1303001.680149,447,117.1734,129149.190613,0
2022-07-14 15:05:00,1101.51,1101.52,1096.64,1096.9,1698.4881,1657782359999,1868107.220503,1182,452.9852,498130.647742,0
2022-07-14 15:06:00,1096.9,1098.24,1095.94,1097.91,1917.1025,1657782419999,2103294.366069,1113,1106.8941,1214349.985103,0
2022-07-14 15:07:00,1097.92,1098.3,1096.06,1096.27,1465.9826,1657782479999,1607839.118383,1191,472.1229,517732.22633,0
2022-07-14 15:08:00,1096.26,1096.27,1095.43,1095.94,611.7713,1657782539999,670393.397472,667,282.3228,309357.490873,0
2022-07-14 15:09:00,1095.94,1095.95,1094.7,1094.85,723.7487,1657782599999,792718.18967,755,206.775,226497.951061,0
2022-07-14 15:10:00,1094.86,1096.52,1094.63,1096.31,980.8351,1657782659999,1074737.816012,946,514.7868,563992.623638,0
2022-07-14 15:11:00,1096.31,1097.99,1096.3,1097.51,520.9486,1657782719999,571771.395556,471,229.8764,252292.559384,0
2022-07-14 15:12:00,1097.5,1097.93,1096.4,1097.19,897.642,1657782779999,984747.22334,566,508.5218,557838.893859,0
2022-07-14 15:13:00,1097.19,1098.35,1096.36,1096.75,552.3176,1657782839999,606224.635485,818,375.3433,412001.240059,0
2022-07-14 15:14:00,1096.74,1097.61,1096.42,1097.03,1255.2033,1657782899999,1377233.69238,400,987.7677,1083841.543467,0
2022-07-14 15:15:00,1097.03,1097.89,1097.03,1097.71,613.6535,1657782959999,673520.799969,512,333.525,366058.00035,0
2022-07-14 15:16:00,1097.71,1098.32,1097.16,1097.17,386.8237,1657783019999,424665.735498,518,129.3029,141941.84204,0
2022-07-14 15:17:00,1097.16,1098.47,1096.99,1098.46,1311.4558,1657783079999,1440080.29066,607,1090.7048,1197797.565503,0
2022-07-14 15:18:00,1098.46,1099.21,1097.58,1097.73,1298.0196,1657783139999,1425631.610143,442,136.0751,149444.854653,0
2022-07-14 15:19:00,1097.74,1098.96,1097.73,1098.42,405.235,1657783199999,445219.730576,402,245.5754,269799.41755,0
2022-07-14 15:20:00,1098.42,1099.45,1098.42,1098.67,2448.6044,1657783259999,2691025.357364,545,1134.448,1246716.380377,0
2022-07-14 15:21:00,1098.65,1099.69,1098.65,1099.69,116.963,1657783319999,128566.473912,294,75.9493,83475.991187,0
2022-07-14 15:22:00,1099.69,1100.9,1099.67,1100.37,431.1135,1657783379999,474337.017386,426,296.3431,326027.792456,0
2022-07-14 15:23:00,1100.37,1100.38,1098.97,1099.12,425.8885,1657783439999,468354.10031,376,168.127,184845.919546,0
2022-07-14 15:24:00,1099.13,1099.34,1097.3,1097.66,751.3913,1657783499999,825419.307187,474,169.0031,185604.394441,0
2022-07-14 15:25:00,1097.66,1097.77,1097.13,1097.14,3383.1268,1657783559999,3712398.089118,687,2138.7634,2346896.580572,0
2022-07-14 15:26:00,1097.14,1097.46,1097.1,1097.35,1398.441,1657783619999,1534437.737036,314,200.2051,219672.140686,0
2022-07-14 15:27:00,1097.36,1098.29,1096.54,1098.29,1801.3815,1657783679999,1976831.690708,716,608.4298,667776.800135,0
2022-07-14 15:28:00,1098.29,1099.86,1097.69,1098.55,579.8477,1657783739999,637182.124125,583,349.711,384258.723188,0
2022-07-14 15:29:00,1098.56,1098.56,1097.54,1098.48,280.033,1657783799999,307543.666687,289,156.971,172382.478459,0
2022-07-14 15:30:00,1098.47,1099.8,1098.37,1099.5,1678.0946,1657783859999,1843953.249864,428,1428.375,1569444.964533,0
2022-07-14 15:31:00,1099.5,1100.5,1098.73,1098.73,466.7899,1657783919999,513297.422589,397,89.8313,98780.532229,0
