Opentime,Open,High,Low,Close,Volume,Closetime,Quote asset volume,Number of trades,Taker by base,Taker buy quote,Ignore
2022-07-14 14:42:00,48.94,48.95,48.93,48.94,84.321,1657780979999,4126.68408,18,19.37,948.00819,0
2022-07-14 14:43:00,48.95,48.97,48.95,48.95,156.824,1657781039999,7676.76413,23,65.07,3185.2819,0
2022-07-14 14:44:00,48.96,48.99,48.96,48.98,38.538,1657781099999,1887.92553,10,33.627,1647.35409,0
2022-07-14 14:45:00,48.99,49.06,48.99,49.01,1478.131,1657781159999,72496.74732,103,1139.613,55898.50292,0
2022-07-14 14:46:00,49.01,49.03,49.01,49.02,65.517,1657781219999,3211.25186,20,32.426,1589.44963,0
2022-07-14 14:47:00,49.02,49.04,49.01,49.01,263.101,1657781279999,12899.2459,26,141.815,6953.31804,0
2022-07-14 14:48:00,49.04,49.04,49.02,49.02,6.506,1657781339999,319.00498,4,0.0,0.0,0
2022-07-14 14:49:00,49.03,49.04,49.03,49.03,183.894,1657781399999,9017.24549,19,82.864,4062.87201,0
2022-07-14 14:50:00,49.03,49.03,48.98,48.99,192.605,1657781459999,9437.90561,32,58.709,2876.23191,0
2022-07-14 14:51:00,49.0,49.03,48.99,49.03,79.689,1657781519999,3905.9157,17,76.275,3738.57198,0
2022-07-14 14:52:00,49.03,49.03,48.99,48.99,53.873,1657781579999,2640.18619,17,33.536,1643.45609,0
2022-07-14 14:53:00,48.99,48.99,48.98,48.98,7.658,1657781639999,375.14779,5,6.991,342.47813,0
2022-07-14 14:54:00,48.97,48.99,48.96,48.97,56.17,1657781699999,2750.77726,19,13.585,665.32947,0
2022-07-14 14:55:00,48.96,48.98,48.95,48.97,33.261,1657781759999,1628.55074,13,26.796,1312.06054,0
2022-07-14 14:56:00,48.96,48.97,48.95,48.95,9.443,1657781819999,462.24421,6,5.385,263.60511,0
2022-07-14 14:57:00,48.96,48.96,48.94,48.96,109.488,1657781879999,5359.51093,12,46.753,2288.70325,0
2022-07-14 14:58:00,48.97,49.0,48.97,49.0,43.435,1657781939999,2127.48037,15,27.946,1368.87074,0
2022-07-14 14:59:00,49.0,49.02,48.94,48.94,408.579,1657781999999,20012.43853,66,142.02,6960.29645,0
2022-07-14 15:00:00,48.94,48.97,48.93,48.95,120.028,1657782059999,5875.51572,16,49.79,2437.05126,0
2022-07-14 15:01:00,48.96,48.97,48.95,48.96,126.028,1657782119999,6169.91188,23,27.804,1361.34611,0
2022-07-14 15:02:00,48.95,48.95,48.93,48.93,13.544,1657782179999,662.91586,11,3.964,194.02608,0
2022-07-14 15:03:00,48.93,48.94,48.93,48.94,145.928,1657782239999,7141.66953,15,0.894,43.75236,0
2022-07-14 15:04:00,48.94,48.95,48.93,48.93,145.805,1657782299999,7135.85636,26,47.573,2328.38228,0
2022-07-14 15:05:00,48.92,48.92,48.78,48.78,487.24,1657782359999,23803.70161,112,58.159,2839.32344,0
2022-07-14 15:06:00,48.79,48.81,48.74,48.81,342.662,1657782419999,16713.48026,59,221.055,10783.44918,0
2022-07-14 15:07:00,48.8,48.82,48.77,48.78,211.726,1657782479999,10331.06124,38,48.633,2373.14298,0
2022-07-14 15:08:00,48.78,48.78,48.69,48.69,651.322,1657782539999,31741.91818,93,111.196,5421.89436,0
2022-07-14 15:09:00,48.69,48.69,48.66,48.66,235.8,1657782599999,11477.24006,55,134.894,6566.65681,0
2022-07-14 15:10:00,48.66,48.77,48.66,48.77,244.823,1657782659999,11928.80464,54,217.919,10618.57742,0
2022-07-14 15:11:00,48.78,48.84,48.78,48.82,84.071,1657782719999,4104.28163,34,34.102,1664.4294,0
2022-07-14 15:12:00,48.79,48.82,48.77,48.78,154.868,1657782779999,7556.47745,35,65.302,3186.56154,0
2022-07-14 15:13:00,48.8,48.81,48.76,48.76,67.369,1657782839999,3286.53153,15,22.369,1091.72555,0
2022-07-14 15:14:00,48.76,48.79,48.76,48.78,45.393,1657782899999,2213.95993,12,3.95,192.67889,0
2022-07-14 15:15:00,48.77,48.8,48.77,48.78,21.082,1657782959999,1028.44658,8,8.053,392.90418,0
2022-07-14 15:16:00,48.78,48.81,48.78,48.78,51.731,1657783019999,2523.71287,15,9.628,469.79212,0
2022-07-14 15:17:00,48.77,48.86,48.77,48.86,74.345,1657783079999,3629.06092,21,24.004,1172.00697,0
2022-07-14 15:18:00,48.87,48.9,48.84,48.84,327.04,1657783139999,15982.87409,42,172.028,8408.15628,0
2022-07-14 15:19:00,48.84,48.88,48.84,48.86,67.896,1657783199999,3317.56261,15,26.76,1307.44055,0
2022-07-14 15:20:00,48.89,48.92,48.88,48.88,203.752,1657783259999,9963.95351,27,131.994,6455.18998,0
2022-07-14 15:21:00,48.88,48.9,48.88,48.9,25.16,1657783319999,1229.88826,6,6.097,298.08882,0
2022-07-14 15:22:00,48.9,48.94,48.9,48.94,60.667,1657783379999,2967.77374,17,30.123,1474.01061,0
2022-07-14 15:23:00,48.93,48.93,48.89,48.89,130.458,1657783439999,6379.86209,18,36.638,1791.25962,0
2022-07-14 15:24:00,48.89,48.89,48.84,48.86,141.576,1657783499999,6916.58068,21,128.906,6297.5458,0
2022-07-14 15:25:00,48.86,48.87,48.83,48.85,248.105,1657783559999,12118.83618,26,20.912,1021.68271,0
2022-07-14 15:26:00,48.86,48.86,48.85,48.85,18.039,1657783619999,881.20762,16,3.138,153.29377,0
2022-07-14 15:27:00,48.85,48.89,48.85,48.89,182.824,1657783679999,8935.76543,31,161.627,7900.21282,0
2022-07-14 15:28:00,48.9,48.94,48.89,48.89,156.238,1657783739999,7644.6543,29,36.383,1780.16893,0
2022-07-14 15:29:00,48.9,48.9,48.87,48.87,8.264,1657783799999,403.94914,7,2.81,137.35124,0
2022-07-14 15:30:00,48.88,48.92,48.88,48.92,79.955,1657783859999,3909.67203,16,8.524,416.96011,0
2022-07-14 15:31:00,48.9,48.93,48.88,48.88,95.853,1657783919999,4686.62529,26,15.937,779.64996,0
2022-07-14 15:32:00,48.88,48.89,48.86,48.87,61.534,1657783979999,3007.77081,13,46.928,2293.97748,0
2022-07-14 15:33:00,48.89,48.89,48.86,48.86,11.095,1657784039999,542.23715,5,0.204,9.97356,0
2022-07-14 15:34:00,48.87,48.9,48.86,48.9,284.432,1657784099999,13905.80877,26,269.286,13165.49275,0
2022-07-14 15:35:00,48.9,48.94,48.9,48.94,44.188,1657784159999,2162.28663,12,44.188,2162.28663,0
2022-07-14 15:36:00,48.95,48.98,48.93,48.97,63.587,1657784219999,3112.68047,26,43.131,2111.31479,0
2022-07-14 15:37:00,48.97,49.0,48.95,48.96,220.398,1657784279999,10796.08323,29,83.04,4067.97424,0
2022-07-14 15:38:00,48.97,49.0,48.97,48.97,119.731,1657784339999,5863.89721,18,102.525,5021.22756,0
2022-07-14 15:39:00,48.96,48.98,48.94,48.94,364.829,1657784399999,17862.86313,41,188.702,9240.47703,0
2022-07-14 15:40:00,48.93,48.93,48.88,48.88,197.883,1657784459999,9677.89863,35,38.331,1874.78969,0
2022-07-14 15:41:00,48.88,48.88,48.78,48.82,254.125,1657784519999,12405.69751,56,65.682,3205.76615,0
2022-07-14 15:42:00,48.82,48.86,48.82,48.86,66.249,1657784579999,3235.00047,17,41.699,2036.36812,0
2022-07-14 15:43:00,48.87,49.04,48.86,49.02,331.707,1657784639999,16241.70145,69,194.559,9522.95316,0
2022-07-14 15:44:00,49.02,49.03,48.96,48.98,374.745,1657784699999,18361.97303,54,211.032,10342.65528,0
2022-07-14 15:45:00,48.98,48.99,48.92,48.92,126.953,1657784759999,6211.78186,21,38.677,1892.69871,0
2022-07-14 15:46:00,48.94,48.94,48.89,48.91,199.209,1657784819999,9741.27043,30,18.486,904.19524,0
