Opentime,Open,High,Low,Close,Volume,Closetime,Quote asset volume,Number of trades,Taker by base,Taker buy quote,Ignore
2022-07-14 14:42:00,8.22,8.22,8.22,8.22,16.96,1657780979999,139.4112,8,6.0,49.32,0
2022-07-14 14:43:00,8.22,8.22,8.22,8.22,611.8,1657781039999,5028.996,6,0.0,0.0,0
2022-07-14 14:44:00,8.23,8.25,8.23,8.24,1444.67,1657781099999,11897.6608,40,1046.23,8618.4996,0
2022-07-14 14:45:00,8.24,8.25,8.24,8.25,137.88,1657781159999,1136.9041,8,137.88,1136.9041,0
2022-07-14 14:46:00,8.26,8.26,8.26,8.26,40.6,1657781219999,335.356,5,40.6,335.356,0
2022-07-14 14:47:00,8.26,8.27,8.26,8.26,102.45,1657781279999,846.3568,9,58.79,485.7252,0
2022-07-14 14:48:00,8.25,8.25,8.25,8.25,3.81,1657781339999,31.4325,1,0.0,0.0,0
2022-07-14 14:49:00,8.26,8.26,8.26,8.26,24.4,1657781399999,201.544,4,24.4,201.544,0
2022-07-14 14:50:00,8.25,8.26,8.25,8.26,12.67,1657781459999,104.6358,2,10.83,89.4558,0
2022-07-14 14:51:00,8.25,8.25,8.25,8.25,168.7,1657781519999,1391.775,7,0.0,0.0,0
2022-07-14 14:52:00,8.25,8.26,8.24,8.24,88.2,1657781579999,727.7919,8,39.31,324.5031,0
2022-07-14 14:53:00,8.24,8.25,8.24,8.25,11.34,1657781639999,93.5394,2,9.78,80.685,0
2022-07-14 14:54:00,8.25,8.25,8.25,8.25,107.51,1657781699999,886.9575,5,107.51,886.9575,0
2022-07-14 14:55:00,8.26,8.26,8.25,8.25,21.04,1657781759999,173.6728,2,9.28,76.6528,0
2022-07-14 14:56:00,8.25,8.26,8.25,8.25,137.64,1657781819999,1135.6182,7,8.82,72.8532,0
2022-07-14 14:57:00,8.25,8.25,8.25,8.25,1.45,1657781879999,11.9625,1,1.45,11.9625,0
2022-07-14 14:58:00,8.25,8.25,8.25,8.25,68.99,1657781939999,569.1675,2,68.99,569.1675,0
2022-07-14 14:59:00,8.25,8.25,8.24,8.24,333.41,1657781999999,2747.5674,12,26.9,221.925,0
2022-07-14 15:00:00,8.25,8.25,8.24,8.24,124.98,1657782059999,1031.0501,10,121.49,1002.2925,0
2022-07-14 15:01:00,8.25,8.26,8.25,8.25,85.02,1657782119999,701.4946,4,7.96,65.7496,0
2022-07-14 15:02:00,8.25,8.25,8.24,8.25,383.94,1657782179999,3163.9904,8,32.48,267.96,0
2022-07-14 15:03:00,8.25,8.25,8.25,8.25,0.0,1657782239999,0.0,0,0.0,0.0,0
2022-07-14 15:04:00,8.25,8.25,8.24,8.24,9.33,1657782299999,76.9511,3,7.19,59.3175,0
2022-07-14 15:05:00,8.24,8.24,8.21,8.21,2008.14,1657782359999,16539.2573,31,8.2,67.404,0
2022-07-14 15:06:00,8.21,8.21,8.21,8.21,22.11,1657782419999,181.5231,2,22.11,181.5231,0
2022-07-14 15:07:00,8.22,8.22,8.22,8.22,44.82,1657782479999,368.4204,3,44.82,368.4204,0
2022-07-14 15:08:00,8.21,8.21,8.2,8.2,170.53,1657782539999,1398.6391,18,35.26,289.2844,0
2022-07-14 15:09:00,8.2,8.2,8.19,8.19,47.04,1657782599999,385.3165,5,23.85,195.3904,0
